CashKey,OrderDetailsKey,DepositCheck,TransactionDate,CollectionPeriod,PaymentAmount
1,1902,DNSCHECK341,7/29/2023,7/9/2023,348.65
2,5737,DNSCHECK673,12/6/2023,11/13/2023,210.96
3,1202,DNSCHECK793,11/18/2023,10/28/2023,1110.93
4,451,DNSCHECK524,1/28/2023,12/29/2022,508.04
5,6124,DNSCHECK387,3/15/2023,2/23/2023,363.02
6,843,DNSCHECK769,12/2/2022,11/6/2022,419.02
7,1222,DNSCHECK655,2/8/2023,1/18/2023,633.36
8,3628,DNSCHECK402,2/14/2023,1/24/2023,500.96
9,6118,DNSCHECK656,5/22/2023,4/23/2023,691.91
10,4793,DNSCHECK441,10/22/2022,9/27/2022,1313.28
11,268,DNSCHECK576,4/6/2023,3/15/2023,428.31
12,9422,DNSCHECK689,10/9/2022,9/10/2022,1599.41
13,8913,DNSCHECK332,7/27/2022,7/7/2022,1727.26
14,4984,DNSCHECK448,9/3/2022,8/10/2022,75.55
15,382,DNSCHECK678,10/5/2022,9/7/2022,25.12
16,4294,DNSCHECK785,4/9/2023,3/19/2023,366.31
17,7158,DNSCHECK794,2/11/2023,1/17/2023,874.83
18,4666,DNSCHECK462,1/17/2023,12/25/2022,528.65
19,3934,DNSCHECK666,6/7/2023,5/9/2023,1144
20,6891,DNSCHECK313,1/15/2023,12/20/2022,779.61
21,2568,DNSCHECK356,11/29/2022,11/7/2022,291.81
22,6816,DNSCHECK739,8/30/2022,8/1/2022,157.63
23,1823,DNSCHECK610,12/21/2022,11/27/2022,355.82
24,7224,DNSCHECK485,1/28/2023,1/6/2023,627.1
25,644,DNSCHECK726,2/12/2023,1/22/2023,702.73
26,3352,DNSCHECK779,12/3/2022,11/5/2022,1322.98
27,6199,DNSCHECK585,5/16/2023,4/21/2023,9.37
28,9302,DNSCHECK444,11/3/2022,10/14/2022,315.04
29,4653,DNSCHECK608,4/2/2023,3/6/2023,588.13
30,3815,DNSCHECK743,11/2/2022,10/6/2022,315.04
31,6774,DNSCHECK624,2/14/2023,1/24/2023,465.66
32,8933,DNSCHECK392,8/4/2022,7/12/2022,779.26
33,1353,DNSCHECK541,11/17/2022,10/21/2022,385.26
34,18,DNSCHECK435,7/17/2023,6/18/2023,1501.43
35,4005,DNSCHECK324,12/11/2022,11/20/2022,870.71
36,642,DNSCHECK788,4/4/2023,3/5/2023,722.08
37,8311,DNSCHECK736,7/17/2022,6/19/2022,297.07
38,3517,DNSCHECK737,8/29/2022,8/4/2022,298.87
39,5128,DNSCHECK538,12/26/2022,12/1/2022,766.3
40,2503,DNSCHECK661,11/9/2024,10/16/2024,671.82
41,9132,DNSCHECK563,2/6/2024,1/10/2024,649.78
42,9330,DNSCHECK635,9/24/2022,8/29/2022,714.37
43,6586,DNSCHECK602,10/9/2022,9/13/2022,434.44
44,7957,DNSCHECK601,11/16/2022,10/18/2022,968.59
45,803,DNSCHECK795,12/1/2022,11/5/2022,722.13
46,1761,DNSCHECK316,4/4/2023,3/13/2023,97.78
47,813,DNSCHECK371,6/22/2023,5/30/2023,518.7
48,1540,DNSCHECK377,4/23/2023,3/29/2023,675.4
49,8294,DNSCHECK716,4/3/2024,3/7/2024,989.13
50,6320,DNSCHECK520,12/28/2022,12/4/2022,248.95
51,7332,DNSCHECK457,11/3/2022,10/11/2022,522.73
52,7919,DNSCHECK639,9/8/2022,8/16/2022,1681.47
53,6089,DNSCHECK780,10/2/2022,9/5/2022,1232.58
54,1081,DNSCHECK768,1/12/2024,12/20/2023,1448.99
55,9209,DNSCHECK789,1/15/2023,12/22/2022,840.27
56,5898,DNSCHECK469,2/8/2023,1/13/2023,856.18
57,7265,DNSCHECK468,10/4/2022,9/12/2022,19.71
58,1474,DNSCHECK501,11/19/2022,10/25/2022,825.07
59,7918,DNSCHECK782,11/11/2022,10/18/2022,278.75
60,636,DNSCHECK370,3/27/2023,2/28/2023,161.64
61,9085,DNSCHECK494,12/4/2022,11/9/2022,420.5
62,6881,DNSCHECK761,10/8/2022,9/10/2022,323.05
63,3375,DNSCHECK423,3/22/2023,2/23/2023,1216.48
64,6677,DNSCHECK327,3/6/2023,2/14/2023,506.04
65,8841,DNSCHECK497,1/7/2023,12/13/2022,232.97
66,2028,DNSCHECK669,11/1/2022,10/5/2022,322.85
67,1077,DNSCHECK308,1/11/2023,12/20/2022,362.84
68,7626,DNSCHECK406,11/19/2022,10/21/2022,464.03
69,4060,DNSCHECK455,8/15/2022,7/16/2022,273.97
70,1045,DNSCHECK432,8/31/2022,8/2/2022,420.21
