OrderDetailKey,OrderHeaderKey,CustomerKey,ProductKey,FacilityKey,TransactionDate,BillDate,,,,
1,316,1,982,4,9/6/2018,5/10/2023,,,,
2,509,20,682,2,10/11/2018,11/19/2023,,,,
3,406,17,846,2,8/14/2019,8/8/2023,,,,
4,141,11,356,1,10/10/2019,11/14/2022,,,,
5,152,9,127,7,11/21/2019,11/25/2022,,,,
6,63,9,865,7,2/27/2020,8/28/2022,,,,
7,127,2,815,5,3/11/2020,10/31/2022,,,,
8,176,12,482,3,9/10/2020,12/19/2022,,,,
9,245,3,505,1,9/24/2020,2/27/2023,,,,
10,11,13,810,8,10/16/2020,7/7/2022,,,,
11,245,19,610,7,10/22/2020,2/27/2023,,,,
12,39,17,619,1,11/18/2020,8/4/2022,,,,
13,14,20,624,2,11/18/2020,7/10/2022,,,,
14,21,10,163,8,11/23/2020,7/17/2022,,,,
15,45,9,157,9,11/23/2020,8/10/2022,,,,
16,169,1,480,9,11/23/2020,12/12/2022,,,,
17,120,17,270,4,11/25/2020,10/24/2022,,,,
18,176,13,307,7,11/26/2020,12/19/2022,,,,
19,277,13,487,1,11/27/2020,3/31/2023,,,,
20,121,13,15,3,12/3/2020,10/25/2022,,,,
21,121,15,174,1,12/3/2020,10/25/2022,,,,
22,51,17,667,2,12/7/2020,8/16/2022,,,,
23,113,8,363,9,12/10/2020,10/17/2022,,,,
24,176,5,649,7,12/10/2020,12/19/2022,,,,
25,167,14,364,1,12/11/2020,12/10/2022,,,,
26,102,3,336,5,12/11/2020,10/6/2022,,,,
27,266,16,538,9,12/13/2020,3/20/2023,,,,
28,53,15,894,7,12/13/2020,8/18/2022,,,,
29,177,19,267,6,12/16/2020,12/20/2022,,,,
30,85,12,580,2,12/16/2020,9/19/2022,,,,
31,149,4,526,6,12/16/2020,11/22/2022,,,,
32,23,1,47,7,12/17/2020,7/19/2022,,,,
33,52,5,1000,1,12/17/2020,8/17/2022,,,,
34,269,12,336,8,12/17/2020,3/23/2023,,,,
35,57,18,321,3,12/17/2020,8/22/2022,,,,
36,164,9,299,1,12/17/2020,12/7/2022,,,,
37,17,16,573,7,2/10/2021,7/13/2022,,,,
38,9,1,241,5,2/12/2021,7/5/2022,,,,
39,129,2,705,1,2/12/2021,11/2/2022,,,,
40,821,4,253,1,2/16/2021,9/30/2024,,,,
41,518,15,676,10,2/17/2021,11/28/2023,,,,
42,8,10,253,6,2/18/2021,7/4/2022,,,,
43,37,18,168,3,2/19/2021,8/2/2022,,,,
44,37,16,438,4,2/22/2021,8/2/2022,,,,
45,73,11,805,2,2/22/2021,9/7/2022,,,,
46,185,8,910,7,2/22/2021,12/28/2022,,,,
47,350,16,25,9,2/22/2021,6/13/2023,,,,
48,186,11,551,7,2/22/2021,12/29/2022,,,,
49,576,9,414,5,2/22/2021,1/25/2024,,,,
50,128,11,451,6,2/24/2021,11/1/2022,,,,
51,35,2,961,2,2/24/2021,7/31/2022,,,,
52,59,14,881,3,3/1/2021,8/24/2022,,,,
53,57,3,924,2,3/1/2021,8/22/2022,,,,
54,547,1,268,6,3/5/2021,12/27/2023,,,,
55,113,12,78,1,3/8/2021,10/17/2022,,,,
56,118,10,49,9,3/8/2021,10/22/2022,,,,
57,40,3,104,8,3/15/2021,8/5/2022,,,,
58,87,4,669,9,3/19/2021,9/21/2022,,,,
59,87,8,560,7,3/19/2021,9/21/2022,,,,
60,159,15,677,5,3/22/2021,12/2/2022,,,,
61,151,7,540,7,3/22/2021,11/24/2022,,,,
62,55,19,311,5,3/24/2021,8/20/2022,,,,
63,159,2,286,1,3/24/2021,12/2/2022,,,,
64,179,8,593,10,3/26/2021,12/22/2022,,,,
65,178,1,941,8,3/29/2021,12/21/2022,,,,
66,64,6,600,6,4/5/2021,8/29/2022,,,,
67,197,9,36,5,4/5/2021,1/9/2023,,,,
68,57,19,529,2,4/12/2021,8/22/2022,,,,
69,14,15,411,5,4/12/2021,7/10/2022,,,,
70,17,10,100,8,4/15/2021,7/13/2022,,,,
71,50,19,622,1,4/20/2021,8/15/2022,,,,
72,86,7,356,5,4/22/2021,9/20/2022,,,,
73,5,5,772,2,4/23/2021,7/1/2022,,,,
74,633,16,69,6,5/8/2021,3/22/2024,,,,
75,335,6,70,9,5/12/2021,5/29/2023,,,,
76,305,3,641,8,5/14/2021,4/28/2023,,,,
77,94,3,611,8,5/24/2021,9/28/2022,,,,
78,102,7,862,10,5/24/2021,10/6/2022,,,,
79,102,11,168,7,5/24/2021,10/6/2022,,,,
80,50,3,266,6,5/31/2021,8/15/2022,,,,
81,157,12,737,5,6/9/2021,11/30/2022,,,,
82,79,17,361,8,6/15/2021,9/13/2022,,,,
83,60,11,438,4,6/15/2021,8/25/2022,,,,
84,249,2,116,2,6/21/2021,3/3/2023,,,,
85,85,2,75,2,6/21/2021,9/19/2022,,,,
86,81,2,558,9,6/25/2021,9/15/2022,,,,
87,33,2,351,4,7/5/2021,7/29/2022,,,,
88,60,2,192,8,7/12/2021,8/25/2022,,,,
89,428,15,711,1,7/12/2021,8/30/2023,,,,
90,123,4,529,5,7/15/2021,10/27/2022,,,,
91,251,13,885,2,7/21/2021,3/5/2023,,,,
92,551,6,299,8,7/23/2021,12/31/2023,,,,
93,636,18,251,3,7/23/2021,3/25/2024,,,,
94,301,3,794,8,7/23/2021,4/24/2023,,,,
95,29,7,846,7,7/23/2021,7/25/2022,,,,
96,13,17,624,7,7/27/2021,7/9/2022,,,,
97,115,7,924,10,7/28/2021,10/19/2022,,,,
98,636,12,635,2,7/28/2021,3/25/2024,,,,
99,662,2,257,7,7/29/2021,4/21/2024,,,,
100,81,14,60,5,8/2/2021,9/15/2022,,,,
101,131,3,862,6,8/2/2021,11/4/2022,,,,
102,101,10,630,2,8/9/2021,10/5/2022,,,,
103,40,6,771,4,8/10/2021,8/5/2022,,,,
104,95,17,66,4,8/13/2021,9/29/2022,,,,
105,127,16,953,4,8/16/2021,10/31/2022,,,,
106,127,17,864,5,8/16/2021,10/31/2022,,,,
107,180,17,664,8,8/16/2021,12/23/2022,,,,
